Reward-3,Interval-3
15579.961982415,40966.5473580491
23181.1644916459,40907.0644722082
20946.3388093937,40840.5287199988
31619.9579313806,40809.8955944553
30907.6088981361,40777.1065656595
15172.1241769893,40692.6016732877
20565.1421236658,40626.3929247692
42367.3435552958,40632.1009596233
40069.2585703185,40630.2616054099
32626.8256447848,40604.1917814339
27160.3293873594,40560.5428775571
45685.2673542621,40577.1277464137
24211.825314731,40524.336448247
28808.4429288173,40486.6647649048
25957.0813174801,40440.0955871887
42562.4032197592,40446.876122756
12753.9113511886,40358.6819674325
40111.9673037958,40357.8987462781
30064.965660378,40325.3261732215
24555.0151036739,40275.5775578601
35071.9839833338,40259.2140560534
12566.0582544022,40172.4016554213
40469.5224308292,40173.3301578445
26071.4003210169,40129.3989122469
29653.4160098733,40096.8648038544
49009.760887279,40124.4589093758
38738.7793649942,40120.1821206586
18979.9546292452,40055.1352668389
36982.9128797141,40045.7112717864
49560.8504098799,40074.8095566123
20606.3544508252,40015.4545105581
28183.3410859395,39979.4906399666
36960.157695544,39970.3411461956
30271.5538800021,39941.0396740923
23921.2376590529,39892.7872583843
17926.6674218083,39826.8229345507
21704.543223637,39772.564612063
15720.3160245616,39700.7668550854
12347.0585699599,39619.3570089987
37704.4290475838,39613.6747301814
50582.9986187668,39646.1283511536
26472.0034017328,39607.2666256391
20298.3128601437,39550.4755851523
26071.0147300034,39510.9463744334
47625.0994153623,39534.6719681203
32123.0803632655,39513.0638293307
23236.4535608101,39465.7481018059
36361.1741003242,39456.7493365842
33394.7306026388,39439.229051226
14633.3088705428,39367.7422495525
30575.426187736,39342.4769735128
17382.6289745161,39279.5547729426
22617.5125108973,39231.9489379082
29617.4584041586,39204.5572269859
41843.0019618424,39212.052808619
42300.7690723415,39220.8027130488
30527.7412564951,39196.2460422675
32121.1941299511,39176.3163185709
26467.7866751095,39140.6182015949
26383.66588713,39104.8844416104
41539.0767947057,39111.6838615911
40116.5198585958,39114.4828476552
46339.9865838916,39134.5536913669
45917.3370148844,39153.3425648393
43200.5828995655,39164.5227867584
34849.2946944753,39152.6351060634
71995.5476602895,39242.8628878058
66346.9886392432,39317.1207665768
17355.3994785223,39257.116063604
53187.3287946771,39295.0730465225
77305.8771225484,39398.3632749899
59194.3258525185,39452.010870051
33742.526028952,39436.5798299399
57474.6618195949,39485.1999970279
40234.0879974009,39487.2131368138
42815.5576498991,39496.1363124521
93347.2421719809,39640.1232265151
73258.4720100049,39729.7721566044
36368.4185585851,39720.8323863969
111077.34320775,39910.1069509097
58011.3808524139,39957.9939189032
30349.7150641323,39932.6422596557
58376.393482418,39981.1784470841
66415.6119695384,40050.5601623661
48105.8442226914,40071.6472934141
93093.6457852322,40210.0859317739
72031.9451519386,40292.9553568264
79486.3669672324,40394.7564259444
52138.4367352257,40425.1804681964
33051.1087414205,40406.12601929
63089.315096046,40464.5878468074
39108.1229889978,40461.1007906177
83726.0953273773,40572.0366740453
63419.4069100639,40630.4698460044
76034.9263119529,40720.7873369889
30004.6267812313,40693.5197528776
50480.8097463232,40718.3605904244
50830.7869746122,40743.9616698781
67560.8932274124,40811.6811940133
32625.4750165375,40791.0610273194
85353.1486001535,40903.0260714722
36458.8646792062,40891.8878223688
20959.8656208827,40842.0577668651
12426.3247864069,40771.1955898564
39594.5864017597,40768.2687013288
54361.9898400338,40802.0000192909
33201.6767078104,40783.1873378269
16130.9474017734,40722.3176095897
42614.5966092743,40726.9783953032
50864.4263832054,40751.8861299172
55401.1592668342,40787.7912111352
23697.8005726292,40746.0063929481
32214.0525584303,40725.1967494493
39527.1836460633,40722.2818757184
20925.443571918,40674.2312973111
29590.2868275677,40647.3936593698
15895.2469060278,40587.6058652797
21175.3970735657,40540.8294585526
40685.577083946,40541.1774095752
28626.5432139359,40512.6051453171
46353.9325129316,40526.5796127037
